Index;Element;X;Y;Z;FragmentID
961;H;116.45473056137617;98.26110270742834;113.9388432849281;27
962;H;116.10831496425072;96.67171842695632;114.62868557050436;27
963;C;115.37242972561899;96.89285115013803;111.79891068536799;27
964;H;113.9983638406459;96.5383678671363;113.41254559726192;27
965;H;114.1183849725095;98.2264060594142;112.92700842223347;27
966;C;116.04166364924717;98.06109866687565;111.06155128964619;27
967;H;116.11518565517073;96.11799772321898;111.99871131049699;27
968;H;114.61160903619381;96.45991708380197;111.14578190202549;27
969;C;116.45011913336842;97.59405495814606;109.67969030847962;27
970;H;115.34344322831535;98.89326973153729;110.97249952902055;27
971;H;116.92228661019891;98.39210940542071;111.60627333209102;27
972;N;115.46355526959601;97.64942978906791;108.78034755734048;27
973;C;115.57870809519507;97.1224196070273;107.4358012250729;28
974;H;114.61598885122187;98.14565165197085;109.01444494521849;27
975;O;113.87923736398145;98.91081619557427;115.2195202091366;27
976;C;114.50786758067953;97.71303013171594;106.52760772181375;28
977;H;116.5833389896044;97.35206941721287;107.07095474825579;28
978;H;115.48131043999567;96.02973616655609;107.47134274205406;28
979;C;114.45999778600819;97.03338599744254;105.1578025330732;28
980;H;113.53739253043862;97.57853336147586;107.0094942224198;28
981;H;114.68250487357248;98.78272008628835;106.42114310460832;28
982;C;115.72246894569071;97.2218806549053;104.31500713634581;28
983;H;114.29740436935107;95.96394485932466;105.30603741737853;28
984;H;113.60671494303982;97.42590990064002;104.60252156792369;28
985;C;115.89424359475215;98.65381406219659;103.81340442912887;28
986;H;116.59970525385562;96.93489125102926;104.89551943473062;28
987;H;115.67427719466086;96.55279953627984;103.4536364549383;28
988;C;117.25932677177326;98.85514812671747;103.1703601937495;28
989;H;115.11522953442461;98.8837267285202;103.08477312493977;28
990;H;115.80039670586099;99.36015190218218;104.63834518657909;28
991;N;117.40274958776834;100.22463048958596;102.72349883019375;28
992;H;118.05416258947919;98.61107064329299;103.88695241457303;28
993;H;117.3936053544744;98.19848891870853;102.30416606233884;28
994;C;118.38319017948902;100.62961000638374;101.91292205536415;28
995;H;116.80046062395088;100.91893441083872;103.15487404081162;28
996;O;117.56466332126146;97.14189559024325;109.42215548569868;27
997;C;118.28405856135701;102.09054527334872;101.5193449312508;28
998;C;117.26809770096858;102.24258615945082;100.38242461777119;28
999;H;117.97192359643806;102.67318865345962;102.3857498763078;28
1000;H;119.26316639136397;102.43045431600387;101.18231917412574;28
1001;C;117.14745455417835;103.69412644139229;99.93154355117642;28
1002;H;117.58601601319756;101.62091279513743;99.54196955703144;28
1003;H;116.29451705315807;101.88022007013508;100.71863185178324;28
1004;C;116.25496914085888;103.86024133979045;98.70170733414945;28
1005;H;116.73717632066703;104.28869427327939;100.75015712006318;28
1006;H;118.13748797726345;104.08747794218898;99.69080701406872;28
1007;C;116.34603262058292;105.27644025206936;98.16542390248301;28
1008;H;116.608851312056;103.19393848678956;97.9106956590683;28
1009;H;115.21813008907584;103.60856712273016;98.92058908025835;28
1010;N;115.19208946589534;105.82420018474792;97.79675034070291;28
1011;O;119.25603563653597;99.87884222687667;101.47885651186219;28
1012;C;115.07178972674788;107.14801336283419;97.20867785243993;29
1013;H;114.34464135039813;105.26619661403124;97.85354922000242;28
1014;C;113.6134836944854;107.58394660399121;97.22058256799617;29
1015;H;115.68600144221082;107.841666342933;97.79165044140943;29
1016;H;115.46821992310998;107.13857505480335;96.18583093273274;29
1017;C;113.40664341486044;108.98103742884757;96.63984393430196;29
1018;H;113.03012970388102;106.85905337729268;96.64936350509696;29
1019;H;113.25675685428344;107.56374189438226;98.2519307760557;29
1020;C;111.93295397695103;109.38497446506622;96.67770409386279;29
1021;H;113.98179373047051;109.70708720248447;97.21649865054387;29
1022;H;113.77298254006945;109.00580936342635;95.61150054577367;29
1023;C;111.71141257134279;110.80551586533663;96.15238201535162;29
1024;H;111.35384857831146;108.66490615717608;96.0944420304707;29
1025;H;111.59100550749292;109.3370830216862;97.71452223626275;29
1026;C;110.38945389012727;111.420953298377;96.63740848595569;29
1027;H;112.52994408581563;111.431091021762;96.50997905494847;29
1028;H;111.74561444304211;110.80763059611905;95.060191637507;29
1029;N;109.18308813754767;110.71810347798136;96.21694130206082;29
1030;H;110.38964003052543;111.44249517751089;97.73046481169801;29
1031;H;110.31369015940163;112.44998003608416;96.27771684007449;29
1032;H;109.11183396844099;110.74969539258734;95.20415512917018;29
1033;H;109.27751304044754;109.74065167687493;96.47744488621913;29
1034;O;117.43189467268414;105.86071563157877;98.09932877178638;28
1035;C;119.06003312125279;109.73469650438113;95.69724885469806;30
1036;C;118.39786508889502;108.42546217422867;96.07079006383525;30
1037;C;118.80822141271884;110.82533972023542;96.73809515193412;30
1038;C;117.32294479091159;111.16619313902984;96.8444523595922;30
1039;H;119.17417569382899;110.47966464668751;97.70516164881035;30
1040;H;119.37081142260105;111.71906381336873;96.46342819084191;30
1041;C;117.03303177859442;112.12520168606505;98.00405489727547;30
1042;H;116.98612954978354;111.62097784608137;95.91117465599011;30
1043;H;116.74993349272235;110.24702112337143;96.98812549747616;30
1044;C;117.37954784672247;111.45753438496655;99.31801566369886;30
1045;H;117.63527380527893;113.02758307117033;97.89458543053571;30
1046;H;115.97406529007391;112.37791134159208;97.99417312786963;30
1047;N;116.42121608713096;110.67110705136606;99.81020574982135;30
1048;O;118.542678071091;108.1130345521718;97.33928086852653;30
1049;O;117.79965436611498;107.73070517782223;95.27265909504348;30
1050;H;118.1072885600985;107.23598456715047;97.57601108365068;30
1051;H;118.69232085106644;110.03158587094352;94.71460395966483;30
1052;H;120.13193836424894;109.53973984917832;95.6189458921096;30
1053;C;116.59229784688031;109.84155688398023;100.98129098316154;31
1054;H;115.51474736666584;110.67930970601913;99.34593624239199;30
1055;C;116.61078588277043;108.35208387679708;100.62857572946625;31
1056;H;117.54970184267198;110.11824018264537;101.42960864082752;31
1057;H;115.78892142991526;110.05469906830322;101.68919678574959;31
1058;C;117.05440661349428;107.4710330798135;101.79632491427945;31
1059;H;115.62137599255813;108.03596545146912;100.29287630415918;31
1060;H;117.3060798165797;108.20250532379166;99.79870867836782;31
1061;C;116.04893828690132;107.39808926503409;102.94404491942406;31
1062;H;117.2289690040686;106.4688815954853;101.4017534385425;31
1063;H;118.006374595638;107.83877468560179;102.18437292566801;31
1064;C;116.58196015242906;106.57721798183978;104.12102120226018;31
